customer_id,city,age,gender,tenure_months,plan_type,contract,monthly_charges,total_charges,support_calls,payment_method,has_broadband,has_streaming,churned
C11469,Hyderabad,45,M,34,Standard,Month-to-month,₹680,22809.0,0,Bank transfer,False,False,No
C13433,Hyderabad,74,F,15,Standard,Month-to-month,1160.0,17197.0,0,UPI,True,True,No
C14443,Chennai,25,M,29,Premium,One year,"₹1,474",42000.0,2,Cash,True,False,No
C10521,Bengaluru,37,F,6,Premium,Month-to-month,1370.0,7902.0,1,Bank transfer,False,True,Yes
C10661,Bengaluru,35,F,42,Basic,Two year,682.0,27428.0,1,Bank transfer,True,False,No
C10954,Bengaluru,21,M,2.3y,Premium,Month-to-month,"₹1,540",42802.0,1,UPI,True,False,No
C10130,Bengaluru,28,M,9,Basic,One year,494.0,4290.0,1,UPI,False,True,No
C11440,Bengaluru,28,M,18,Basic,One year,828.0,14680.0,1,Bank transfer,True,True,No
C13029,Bengaluru,29,F,61,Basic,One year,₹511,29994.0,1,Cash,False,False,No
C14829,Bengaluru,40,M,46,Standard,One year,714.0,32242.0,1,Card,False,False,no
C15349,Bengaluru,28,F,28,Basic,Month-to-month,771.0,21284.0,1,Cash,True,True,No
C11636,Hyderabad,53,M,5,Basic,Month-to-month,672.0,3220.0,0,Card,True,False,No
C11871,Chennai,66,F,14,Basic,Month-to-month,682.0,9226.0,4,UPI,True,False,Yes
C16153,Hyderabad,36,F,18,Standard,Month-to-month,950.0,16768.0,1,Bank transfer,True,False,No
C13560,Hyderabad,70,F,59,Basic,Two year,718.0,40691.0,1,Bank transfer,True,False,No
C14615,Chennai,43,F,34,Premium,Month-to-month,1533.0,52025.0,0,Cash,True,False,No
C13553,Bengaluru,30,M,39,Basic,One year,400.0,15205.0,1,Cash,False,False,No
C16764,Hyderabad,38,F,28,Standard,One year,870.0,23984.0,4,Bank transfer,False,True,Yes
C13749,Chennai,39,M,4,Premium,Month-to-month,1511.0,5751.0,0,UPI,True,False,No
C10994,Hyderabad,46,F,22,Standard,Month-to-month,1146.0,24655.0,1,UPI,True,True,Yes
C11526,Kochi,62,M,49,Standard,Two year,863.0,41469.0,4,Cash,False,True,No
C13348,Pune,61,M,30,Basic,Month-to-month,666.0,19877.0,1,UPI,True,False,No
C11945,Hyderabad,56,M,10,Premium,Month-to-month,1587.0,15144.0,1,UPI,True,False,Yes
C11451,Hyderabad,68,F,12,Basic,Month-to-month,₹919,10576.0,1,UPI,True,True,No
C14945,Hyderabad,58,M,30,Basic,Month-to-month,499.0,14522.0,0,Cash,False,True,No
C10849,Bengaluru,72,M,17,Standard,Two year,987.0,16010.0,3,Card,True,False,No
C15380,Bengaluru,26,M,65,Basic,Two year,363.0,22908.0,2,UPI,False,False,No
C15177,Chennai,65,M,65,Standard,One year,1131.0,72823.0,1,Cash,True,True,No
C15294,Hyderabad,72,M,8,Basic,Two year,685.0,5358.0,0,UPI,True,False,No
C16875,Hyderabad,27,M,1.3y,Standard,Month-to-month,1039.0,16212.0,4,Card,True,False,Yes
C11608,Pune,51,F,18,Basic,Month-to-month,750.0,13457.0,2,Cash,True,False,yes
C11139,Kochi,74,M,24,Basic,Month-to-month,701.0,16420.0,2,UPI,True,False,No
C12217,Bengaluru,57,M,25,Standard,Month-to-month,1191.0,29250.0,1,Card,True,True,Yes
C11797,Bengaluru,67,F,61,Standard,Two year,969.0,58245.0,0,UPI,True,False,No
C12083,Bengaluru,33,M,23,Basic,Two year,687.0,15680.0,0,UPI,True,False,No
C14756,Chennai,65,F,45,Standard,One year,1101.0,49219.0,2,UPI,True,True,No
C11229,Hyderabad,73,M,31,Basic,Month-to-month,730.0,21530.0,1,Card,True,False,No
C10558,Pune,73,M,15,Basic,Month-to-month,392.0,5796.0,2,UPI,False,False,Yes
C14865,Bengaluru,32,F,37,Premium,One year,1318.0,48606.0,1,UPI,False,True,No
C11703,Chennai,26,M,57,Standard,One year,1141.0,63042.0,1,Card,True,True,0
C10877,Hyderabad,31,M,7,Standard,Month-to-month,1005.0,6939.0,0,UPI,True,False,1
C14926,Chennai,63,M,10,Standard,Month-to-month,641.0,6367.0,0,Card,False,False,No
C10458,Chennai,62,F,34,Premium,Month-to-month,1275.0,43133.0,3,Cash,False,True,No
C12711,Pune,46,F,65,Standard,One year,692.0,44074.0,2,UPI,False,False,No
C15265,Pune,40,F,28,Basic,One year,403.0,11086.0,2,Cash,False,False,No
C13890,Chennai,25,M,14,Basic,Month-to-month,₹423,5911.0,0,Card,False,False,No
C10472,Bengaluru,52,F,24,Premium,One year,1390.0,32740.0,2,UPI,False,True,No
C15416,Kochi,60,F,69,Basic,One year,679.0,44981.0,1,Card,True,False,no
C12448,Kochi,64,M,11,Premium,One year,1607.0,16969.0,2,UPI,True,True,No
C15276,Bengaluru,20,M,2,Basic,Month-to-month,549.0,1078.0,0,Card,False,True,Yes
C16212,Kochi,37,F,38,Standard,One year,1112.0,42042.0,3,UPI,True,False,No
C11345,Pune,71,F,13,Standard,One year,685.0,8692.0,2,Cash,False,False,No
C14996,Hyderabad,72,M,29,Premium,One year,1191.0,33992.0,2,Card,False,False,No
C11317,KOCHI,37,M,3,Premium,Month-to-month,1525.0,4415.0,1,Card,True,False,No
C10145,Bengaluru,74,F,46,Standard,Two year,934.0,42656.0,2,Card,True,False,No
C15801,Kochi,47,F,23,Premium,Month-to-month,1491.0,33835.0,1,UPI,True,False,No
C13540,Hyderabad,59,F,17,Standard,Month-to-month,"₹1,154",19451.0,0,UPI,True,True,no
C12152,Chennai,39,F,22,Standard,Month-to-month,669.0,14324.0,1,Card,False,False,No
C15226,Hyderabad,31,M,6,Standard,One year,1108.0,6561.0,1,Card,True,True,No
C16574,Bengaluru,22,M,2,Standard,Month-to-month,1080.0,2066.0,1,UPI,True,True,Yes
C12140,Pune,53,M,14,Standard,Two year,610.0,8360.0,0,Bank transfer,False,False,no
C14893,Chennai,33,F,4,Basic,Month-to-month,708.0,2750.0,1,Card,True,False,No
C11146,Kochi,56,M,1.1y,Standard,Month-to-month,"₹1,186",15270.0,2,Card,True,True,yes
C16897,Bengaluru,47,M,12,Basic,Month-to-month,725.0,8331.0,2,Card,True,False,No
C15335,Chennai,35,F,35,Standard,One year,1031.0,35046.0,1,UPI,True,False,No
C15045,Hyderabad,61,M,32,Basic,Two year,865.0,27020.0,3,Cash,True,True,No
C16563,Kochi,29,M,4,Standard,Month-to-month,734.0,2819.0,2,UPI,False,False,No
C15383,Hyderabad,34,M,18,Basic,Month-to-month,864.0,14914.0,2,Cash,True,True,No
C16796,Pune,72,M,32,Standard,Month-to-month,1053.0,32664.0,0,UPI,True,False,0
C11638,Hyderabad,69,M,1.2y,Standard,Month-to-month,684.0,9927.0,0,UPI,False,False,No
C13119,Chennai,45,M,58,Standard,One year,924.0,51638.0,2,Card,True,False,No
C11209,Bengaluru,70,M,71,Standard,Two year,1248.0,85730.0,2,Card,True,True,No
C15195,Hyderabad,71,M,18,Standard,Month-to-month,982.0,17556.0,0,UPI,True,False,No
C16296,Chennai,35,F,6,Standard,Month-to-month,1069.0,6315.0,2,Cash,True,True,Yes
C11128,Pune,38,F,38,Basic,Month-to-month,704.0,25520.0,0,UPI,True,False,No
C10642,Pune,69,F,5,Basic,Month-to-month,609.0,2970.0,0,Card,True,False,No
C12531,Hyderabad,59,F,64,Standard,One year,807.0,50466.0,2,Bank transfer,False,True,No
C10811,Bengaluru,55,F,37,Basic,Month-to-month,₹314,11542.0,1,UPI,False,False,No
C15876,Pune,30,F,37,Standard,Month-to-month,1105.0,40363.0,3,Bank transfer,True,True,Yes
C13696,Bengaluru,39,F,33,Basic,Month-to-month,572.0,18623.0,1,Card,False,True,Yes
C11406,Hyderabad,44,F,20,Premium,Two year,1481.0,29468.0,1,UPI,True,False,No
C10288,Hyderabad,30,F,14,Premium,Month-to-month,1696.0,23316.0,0,Card,True,True,yes
