customer_id,city,age,gender,tenure_months,plan_type,contract,monthly_charges,total_charges,support_calls,payment_method,has_broadband,has_streaming,churned
C11469,Hyderabad,45,M,34,Standard,Month-to-month,680.0,22809.0,0,Bank transfer,False,False,False
C13433,Hyderabad,74,F,15,Standard,Month-to-month,1160.0,17197.0,0,UPI,True,True,False
C14443,Chennai,25,M,29,Premium,One year,1474.0,42000.0,2,Cash,True,False,False
C10521,Bengaluru,37,F,6,Premium,Month-to-month,1370.0,7902.0,1,Bank transfer,False,True,True
C10661,Bengaluru,35,F,42,Basic,Two year,682.0,27428.0,1,Bank transfer,True,False,False
C10954,Bengaluru,21,M,28,Premium,Month-to-month,1540.0,42802.0,1,UPI,True,False,False
C10130,Bengaluru,28,M,9,Basic,One year,494.0,4290.0,1,UPI,False,True,False
C11440,Bengaluru,28,M,18,Basic,One year,828.0,14680.0,1,Bank transfer,True,True,False
C13029,Bengaluru,29,F,61,Basic,One year,511.0,29994.0,1,Cash,False,False,False
C14829,Bengaluru,40,M,46,Standard,One year,714.0,32242.0,1,Card,False,False,False
C15349,Bengaluru,28,F,28,Basic,Month-to-month,771.0,21284.0,1,Cash,True,True,False
C11636,Hyderabad,53,M,5,Basic,Month-to-month,672.0,3220.0,0,Card,True,False,False
C11871,Chennai,66,F,14,Basic,Month-to-month,682.0,9226.0,4,UPI,True,False,True
C16153,Hyderabad,36,F,18,Standard,Month-to-month,950.0,16768.0,1,Bank transfer,True,False,False
C13560,Hyderabad,70,F,59,Basic,Two year,718.0,40691.0,1,Bank transfer,True,False,False
C14615,Chennai,43,F,34,Premium,Month-to-month,1533.0,52025.0,0,Cash,True,False,False
C13553,Bengaluru,30,M,39,Basic,One year,400.0,15205.0,1,Cash,False,False,False
C16764,Hyderabad,38,F,28,Standard,One year,870.0,23984.0,4,Bank transfer,False,True,True
C13749,Chennai,39,M,4,Premium,Month-to-month,1511.0,5751.0,0,UPI,True,False,False
C10994,Hyderabad,46,F,22,Standard,Month-to-month,1146.0,24655.0,1,UPI,True,True,True
C11526,Kochi,62,M,49,Standard,Two year,863.0,41469.0,4,Cash,False,True,False
C13348,Pune,61,M,30,Basic,Month-to-month,666.0,19877.0,1,UPI,True,False,False
C11945,Hyderabad,56,M,10,Premium,Month-to-month,1587.0,15144.0,1,UPI,True,False,True
C11451,Hyderabad,68,F,12,Basic,Month-to-month,919.0,10576.0,1,UPI,True,True,False
C14945,Hyderabad,58,M,30,Basic,Month-to-month,499.0,14522.0,0,Cash,False,True,False
C10849,Bengaluru,72,M,17,Standard,Two year,987.0,16010.0,3,Card,True,False,False
